Regio's;Perioden;aantal;in % van  inwoners 15 jaar of ouder;aantal;km²;km²
Voerendaal;2018;12390;27,5;6220;31,51;0,01
Voorburg;2018;;;;;
Voorhout;2018;;;;;
Voorschoten;2018;25453;32,9;280;11,14;0,42
Voorst;2018;24310;32,6;13270;122,97;3,50
Vorden;2018;;;;;
Vries;2018;;;;;
Vriezenveen;2018;;;;;
Vught;2018;26418;35,9;2430;33,50;0,94
Waadhoeke;2018;46101;34,1;32950;285,61;30,41
Waalre;2018;17075;30,7;1960;22,39;0,28
Waalwijk;2018;47725;33,0;5170;64,58;3,07
Waddinxveen;2018;27578;31,0;1070;27,77;1,62
Wageningen;2018;38412;53,4;2670;30,42;1,94
Warmond;2018;;;;;
Warnsveld;2018;;;;;
Waspik;2018;;;;;
Wassenaar;2018;26084;30,0;5410;51,11;11,30
Wateringen;2018;;;;;
Waterland;2018;17259;32,5;7860;52,11;63,55
Weerselo;2018;;;;;
Weert;2018;49855;33,8;7770;104,32;1,22
Weesp;2018;19147;37,6;760;22,79;1,37
Wehl;2018;;;;;
Werkendam;2018;26979;29,7;12260;100,90;20,86
Wervershoof;2018;;;;;
West Betuwe;2018;;;;;
West Maas en Waal;2018;18891;32,6;13220;76,76;8,45
Westerbork;2018;;;;;
Westerhoven;2018;;;;;
Wester-Koggenland;2018;;;;;
Westerkwartier;2018;;;;;
Westerschouwen;2018;;;;;
Westerveld;2018;19152;29,1;19150;278,35;4,39
Westervoort;2018;15015;32,1;110;7,03;0,81
Westerwolde;2018;24684;28,7;19940;275,67;4,98
Westkapelle;2018;;;;;
Westland;2018;107492;35,6;9260;81,27;9,47
Weststellingwerf;2018;25720;32,5;13450;220,30;8,15
Westvoorne;2018;14508;27,5;3890;53,18;44,30
Wierden;2018;24258;29,6;6040;94,63;0,76
Wieringen;2018;;;;;
Wieringermeer;2018;;;;;
Wijchen;2018;40847;33,0;7540;66,18;3,39
Wijdemeren;2018;23659;32,2;9540;47,60;28,76
Wijhe;2018;;;;;
De Wijk;2018;;;;;
Wijk bij Duurstede;2018;23678;31,8;5900;47,62;2,78
Willemstad;2018;;;;;
Winschoten;2018;;;;;
Winsum;2018;13560;32,2;7550;101,10;1,44
Winterswijk;2018;28987;33,9;6110;138,14;0,68
Wisch;2018;;;;;
Wittem;2018;;;;;
Woensdrecht;2018;21800;28,8;5030;91,66;0,31
Woerden;2018;51758;36,0;7790;88,57;4,35
Wognum;2018;;;;;
De Wolden;2018;23917;30,8;19790;224,55;1,79
Wormerland;2018;15995;34,1;3810;38,59;6,59
Woudenberg;2018;13021;30,0;1470;36,53;0,29
Woudrichem;2018;14634;29,3;11010;49,32;2,39
Wouw;2018;;;;;
Wûnseradiel;2018;;;;;
Wymbritseradiel;2018;;;;;
Zaanstad;2018;154865;38,0;7810;73,87;9,37
Zaltbommel;2018;28014;31,7;15870;79,38;9,66
Zandvoort;2018;16970;37,2;1490;32,12;11,86
Zederik;2018;14004;29,4;13260;73,45;3,05
Zeevang;2018;;;;;
Zeewolde;2018;22407;35,0;3260;247,23;21,63
Zeist;2018;63322;38,6;6390;48,51;0,14
Zelhem;2018;;;;;
Zevenaar;2018;43402;31,9;16650;92,60;13,50
Zevenbergen;2018;;;;;
Zevenhuizen-Moerkapelle;2018;;;;;
Zierikzee;2018;;;;;
Zijpe;2018;;;;;
Zoetermeer;2018;124695;36,0;180;34,45;2,60
Zoeterwoude;2018;8430;36,2;1450;21,19;0,77
Zuidhorn;2018;18917;31,9;12130;125,42;2,96
Zuidlaren;2018;;;;;
Zuidplas;2018;41882;31,3;3510;58,02;6,03
Zuidwolde;2018;;;;;
Zundert;2018;21525;34,8;9560;120,65;0,56
Zutphen;2018;47537;36,2;2750;40,95;1,98
Zwartewaterland;2018;22468;28,7;3690;82,49;5,37
Zwartsluis;2018;;;;;
Zweeloo;2018;;;;;
Zwijndrecht;2018;44586;31,3;660;20,30;2,47
Zwolle;2018;126116;42,2;5170;111,10;8,26
Bron: CBS;;;;;;
